donor, acceptor, , 
597.01, 1276.15, , 
-594.50, 973.23, , 
-788.62, 943.42, , 
-488.06, 174.34, , 
1206.74, 371.92, , 
-2928.67, -168.51, , 
-1026.57, 3258.48, , 
-45.22, 968.75, , 
-818.21, 205.52, , 
517.54, 612.83, , 
2179.89, 384.63, , 
103.09, -136.64, , 
696.10, 847.74, , 
717.84, 338.43, , 
-1043.02, -937.17, , 
-3119.53, -654.05, , 
3395.81, 2328.66, , 
400.01, -180.63, , 
3549.84, -1772.23, , 
638.84, 806.13, , 
1720.97, -2909.83, , 
1037.04, -110.54, , 
1292.12, -834.34, , 
179.22, -393.10, , 
123.02, -442.47, , 
1407.49, -729.03, , 
-1781.45, -1399.68, , 
172.03, 166.30, , 
-221.45, 961.86, , 
1739.22, -260.52, , 
3258.69, -433.98, , 
1829.64, 1338.23, , 
-241.21, -1207.67, , 
-363.23, 217.26, , 
-140.73, 1542.36, , 
3162.34, 118.98, , 
-1231.70, 738.08, , 
145.61, -806.79, , 
-89.68, 291.47, , 
-937.55, -1029.80, , 
1578.35, 855.56, , 
-221.82, 59.63, , 
1774.54, 204.40, , 
-4665.71, -626.88, , 
522.09, 166.68, , 
1390.20, -853.76, , 
-1295.27, -734.08, , 
1948.47, -300.40, , 
2731.65, 170.52, , 
-969.10, 556.11, , 
-1130.56, -493.07, , 
1614.63, -357.52, , 
759.23, -1174.20, , 
686.33, 279.90, , 
643.42, 539.71, , 
69.10, -227.30, , 
-816.51, 70.80, , 
462.24, 107.89, , 
-1381.89, -233.13, , 
1623.17, 669.95, , 
273.42, 586.20, , 
-1248.31, 369.41, , 
1408.52, 1268.73, , 
1627.27, -522.15, , 
3085.52, -48.21, , 
-1892.02, -593.11, , 
1666.10, -425.09, , 
-232.52, 1514.59, , 
1872.27, 1085.61, , 
-1025.54, 63.91, , 
3923.89, 18.37, , 
735.44, -549.90, , 
3290.32, 2865.24, , 
1947.91, 788.15, , 
4291.07, 546.67, , 
-578.85, 662.82, , 
580.50, 2503.34, , 
2001.47, -1208.75, , 
-1051.18, -409.97, , 
1375.49, 234.03, , 
-660.96, -509.28, , 
4173.39, 656.46, , 
-391.32, -1176.77, , 
2801.07, -1142.82, , 
2280.63, -543.20, , 
-74.75, 1706.15, , 
954.88, 106.32, , 
1550.15, -1409.17, , 
2342.72, -897.38, , 
1760.63, -380.79, , 
523.66, 675.89, , 
-642.38, 663.08, , 
49.29, 90.28, , 
548.24, 2605.95, , 
1960.59, 203.08, , 
-308.54, 1228.18, , 
1632.38, -412.20, , 
2578.43, -1346.15, , 
-2509.74, 2801.59, , 
1031.53, -990.17, , 
1877.78, -553.42, , 
2527.92, 898.08, , 
909.33, -1747.53, , 
375.86, -734.49, , 
2012.11, 204.47, , 
-901.81, 535.19, , 
-903.00, 210.64, , 
-852.67, -1123.79, , 
873.47, 1247.93, , 
-430.13, -41.99, , 
4957.90, -2046.28, , 
-438.62, -1750.25, , 
-833.64, -577.02, , 
-563.31, 1214.24, , 
-1984.24, -1749.43, , 
1245.60, -989.26, , 
1600.56, 680.12, , 
1960.72, 551.03, , 
-290.51, -655.96, , 
-378.41, 568.81, , 
690.75, -1454.13, , 
417.45, 744.21, , 
1061.97, -421.19, , 
-1604.66, 996.46, , 
-1017.18, 2037.87, , 
-502.87, 1312.14, , 
-1327.12, 902.77, , 
204.90, -624.97, , 
-843.83, 143.77, , 
2200.63, 4104.83, , 
-2877.89, 1192.73, , 
-681.11, -874.27, , 
-2418.41, -701.12, , 
1665.48, 2191.72, , 
-737.26, 2701.04, , 
1554.12, 1414.03, , 
1055.95, -36.58, , 
-1202.08, -35.21, , 
-538.89, 1104.15, , 
-68.58, -1660.90, , 
-712.95, 2236.54, , 
1687.15, -684.48, , 
1383.87, 2252.71, , 
1146.41, 2432.61, , 
-1444.50, -199.03, , 
-475.33, -634.09, , 
363.05, -452.40, , 
1789.38, 1625.08, , 
-2054.66, 2898.19, , 
265.95, -1530.61, , 
-1572.13, -625.73, , 
1856.97, 75.16, , 
-991.64, -675.45, , 
3108.20, 385.76, , 
968.27, 796.90, , 
-162.36, -46.07, , 
-360.77, 1674.90, , 
-620.31, 1140.29, , 
2264.87, 677.77, , 
776.90, 291.19, , 
321.35, 2474.65, , 
-865.21, 943.66, , 
-842.11, 791.03, , 
497.53, -699.94, , 
-897.48, 251.85, , 
1877.44, -1425.25, , 
562.36, 543.38, , 
305.57, 502.14, , 
295.62, 351.40, , 
724.68, 1816.20, , 
-1020.40, 631.27, , 
-1086.99, 706.04, , 
885.39, 389.65, , 
-373.45, 2957.34, , 
1320.58, -58.89, , 
1495.45, -403.74, , 
1524.19, -477.23, , 
1104.80, -1358.52, , 
101.00, -104.06, , 
3764.64, 875.19, , 
-21.33, 4377.69, , 
2749.98, -275.70, , 
1817.18, -259.00, , 
618.58, 1376.60, , 
-31.06, -505.60, , 
311.44, -1236.03, , 
3058.06, -221.06, , 
1216.79, 826.07, , 
629.53, 1345.01, , 
-852.05, -2104.77, , 
-267.62, -1248.52, , 
-795.10, -148.18, , 
720.65, 846.99, , 
53.55, -343.07, , 
-1273.75, -583.73, , 
1290.69, 491.36, , 
-1473.41, 1427.12, , 
1598.35, 831.29, , 
2320.86, -666.96, , 
-291.08, -1226.04, , 
