donor, acceptor, , 
-543.84, -1201.59, , 
1661.15, -345.67, , 
-2764.74, -252.26, , 
-117.31, -1618.46, , 
1359.18, 109.87, , 
3562.27, -192.91, , 
82.28, 978.79, , 
2727.97, 267.81, , 
-2394.80, -1431.63, , 
1217.73, 1412.06, , 
3256.65, -114.41, , 
485.57, -993.72, , 
-1168.27, 2078.60, , 
-300.22, 226.84, , 
-1158.60, -1110.61, , 
-2610.79, -2221.61, , 
-672.58, 2592.39, , 
-2451.43, 962.65, , 
1250.28, 1512.86, , 
2926.16, -1188.00, , 
-1396.07, 1384.71, , 
2401.57, 819.19, , 
1441.61, 386.41, , 
22.56, -440.48, , 
1839.13, -2152.09, , 
-3521.03, 548.65, , 
-1787.89, -718.04, , 
-842.63, -2013.43, , 
1206.20, -1639.05, , 
5160.01, -1768.61, , 
-53.64, 1873.32, , 
-877.91, -1708.36, , 
-452.09, -2273.54, , 
2055.83, -175.98, , 
1538.42, -123.00, , 
-774.41, -66.14, , 
58.49, -233.58, , 
-31.94, 1669.00, , 
230.05, -1554.17, , 
3416.28, -517.62, , 
6347.09, 368.03, , 
-1334.29, -501.22, , 
-2354.36, -1599.00, , 
873.89, 1873.86, , 
5415.02, 477.79, , 
-2618.70, 429.98, , 
3426.49, -953.72, , 
-1607.48, -1378.63, , 
-3111.08, -449.98, , 
-1774.76, -984.08, , 
29.46, 212.27, , 
3069.43, -641.15, , 
1973.98, 231.61, , 
368.05, -1182.22, , 
1657.11, -1579.83, , 
-1117.50, 317.66, , 
759.34, -276.05, , 
-574.43, -1223.12, , 
535.37, 429.27, , 
1730.84, 1255.12, , 
593.03, 551.54, , 
-2048.18, 71.82, , 
2041.22, -1187.68, , 
3046.09, 217.66, , 
2475.57, 1876.54, , 
-3469.74, -394.12, , 
33.22, 1198.92, , 
-573.94, -763.97, , 
937.38, -412.69, , 
68.66, -1313.20, , 
-1025.61, -985.41, , 
329.88, -1175.46, , 
-2189.52, -409.25, , 
-382.28, 646.20, , 
-3142.34, -1811.94, , 
1789.24, -596.33, , 
-1037.57, 2238.44, , 
969.16, 3085.49, , 
-281.52, 13.65, , 
-2014.41, 1532.90, , 
-155.44, 2558.18, , 
-2097.12, 139.80, , 
-1334.27, -2085.53, , 
-521.54, 1734.71, , 
-839.85, -522.44, , 
1479.56, 2296.80, , 
-56.72, -115.34, , 
-2770.81, 381.64, , 
-1864.31, 2629.13, , 
-1251.92, -670.27, , 
728.34, -395.54, , 
-917.73, 733.95, , 
-2056.33, 769.15, , 
139.78, -2071.96, , 
3035.41, -145.53, , 
-1825.82, -1370.58, , 
345.37, -1822.04, , 
-1443.48, 71.42, , 
265.35, -636.17, , 
-793.96, 1103.32, , 
-178.97, -156.89, , 
495.29, 1712.06, , 
974.52, 796.08, , 
220.32, -1054.12, , 
1347.54, 511.08, , 
2516.92, -819.22, , 
1055.21, 477.37, , 
638.03, -123.97, , 
969.77, 1012.36, , 
-1885.18, -1862.29, , 
210.34, -675.26, , 
44.71, 1662.63, , 
-2875.91, 156.38, , 
-2274.80, 1654.03, , 
-664.77, -251.98, , 
-2860.25, -1254.12, , 
-22.29, -1023.40, , 
233.25, 1468.44, , 
58.25, 98.50, , 
-2778.38, 379.54, , 
-124.33, -1184.18, , 
1641.60, -2893.05, , 
-455.38, 282.65, , 
655.40, -1701.80, , 
-435.14, 1391.22, , 
37.80, -1252.23, , 
-1245.47, 2061.54, , 
2269.59, -479.77, , 
-2479.25, -247.84, , 
4783.52, -1109.10, , 
-359.34, 143.60, , 
1083.26, -357.04, , 
2340.54, -1142.05, , 
558.40, -1679.02, , 
158.10, -903.23, , 
827.20, -238.25, , 
388.34, -1604.13, , 
-2997.61, 485.21, , 
-524.54, 1354.43, , 
-1725.42, -1994.65, , 
-1153.32, -740.53, , 
-4435.02, -1558.44, , 
2544.91, -29.44, , 
-353.13, -2138.17, , 
